A,B
camareros simpaticos atentos preocupandose perfeccion,servicio
agradable ambiente,ambiente
comida vanguardista restaurante camareros atentos,servicio.
recomendable pareja amigos,ambiente
menu realmente postre flojo comparacion menu,comida
servicio,servicio
tranquilos ambiente acogedor disfrutamos cena comida ambiente,ambiente
sitio cocina calidad precio servicio terraza agradable,ambiente
ambiente agradable recomendable,ambiente
trato local bonito comida calidad cantidad adecuada,ambiente
comida espectacular entrantes punto  tomamos bacalao entrecot buey,comida
atencion camareros atentos ambiente tranquilo agradable,servicio
cena familia local acogedor camarero amable atento comida buenisima,servicio
sorprendio calidadvariedad presentacion platos,comida
ano ido chulapa alcala tomado menu mediterraneo,comida
chulapa vas comer defraudar,comida
relacion calidadprecio,comida
cenamos relajadamente personal atento,servicio
cena exquisita,comida
recmendables alcachofas atun bacalao recetas,comida
genial probamos menu mediterraneo relacion calidad precio excelente,comida
ambiente optimo servicio comida encuentro familiar pareja,ambiente
servicio atentos comida deliciosa ambiente ideal parejas amigos,ambiente
noche comida riquisima variedad productos,comida
llamo atencion simpatia personal rapidez servicio,servicio
sitio aceptable tranquilo comer renido bolsillo,ambiente
cantidad suficiente tomamos menu especial   euros bebidas,comida
platos principales espectacularesmuy ricos  bacalao atun pato,comida
entrantes decepcionantessobre tortita camaronessabia aceite refrito,comida
comida obligan pedir platos esperas ponen aceitunas picar,servicio
relacion calidadprecio,precio
comida fenomenal servicio,comida
sorprendente combinacion sabores,comida
experiencia paladar,comida
comida rica esperaba sabores intensos repiten haberlos camareros amables,servicio
precio correcto pelin caro gusto conozco tipo restaurantes,precio
comida trato amable,comida
ambiente trato comida mala gusto falta sabor probar,comida
ricocomo,comida
trato exquisito comida buenisima,servicio
precios caros descuento atrapalo queda asequible,precio
comida sabor tranquilo ambiente,ambiente
agradable cenar innovar habitual,comida
domingo conocemos platos gastronomia gusta sabores,comida
elegimos sitio valoracion precio descuento carta,precio
soliamos delhi princesa eliminado ofertas resulta caro,precio
elegimos platos sencillos decepcionaron,comida
servicio correcto pelin frio mitad comida entramos calor potencia sabores tandoori chickenel lamb sag,servicio
cheese naam rico pequeno entrantes correctos,comida
encantado duda repetire raciones abundantes rico servicio impecable,comida
buscais restaurante comida india,comida
comido indios gustado,comida
renovar estetica mobiliario,ambiente
pedi rico vas descuentos atrapalo sale precio,comida
acierto comer curry masala comida  tranquilo trato,comida
comida calidad media,comida
comida exquisita servicio inmejorable,servicio
comida relacion calidad precio sabor indu,comida
servicio excelente comida fiel origen,comida
visita mes repetiremos degustando platos,comida
carta variada comida deliciosa,comida
atencion trato personal cuidadoso detalles,servicio
espectaculo ofrecen impresionantes voces piano fondo quitarse sombrero,ambiente
espacio congenia arte gastronomia ambiente,ambiente
atendieron fenomenal,servicio
comida riquiiiisiimaaa,comida
sales saciado comer,comida
hindu deseando volver repetir,ambiente
vegetariana atendieron genial,servicio
sitio agradable camareros atentos comida,ambiente
atencion comida perfectas,comida
comida menu variada cantidad,comida
camareros amable,servicio
servicio comida regular cantidad cantidad personas oferta,comida
decoracion horrible frio,ambiente
comida super escasa sosa personal super borde,comida
menu      comida trato inmejorable,servicio
camarero brasileno simpatico,servicio
comida rica deberian advertir picante xxxl servicio,comida
comida gusto falto picante,comida
camarero deberia preguntar nivel picor,servicio
agradable sabores rincones postres rompian experiencia,comida
decoracion local deja desear viejo,ambiente
restaurante familia comida  servicio correcto local agradable,comida
trato cordial comida excelente,servicio
calidadprecio insuperable,precio
parecio especial sitio lugubre comida mala menu atrapalo,comida
probaba cocina india experiencia satisfactoria,comida
rico servicio super amable,servicio
precios menu asequibles,precio
comida grupo   personas quedamos conformes,comida
trato servicio rapidez comida postes,servicio
unica pega cantidad comida menu escogimos,comida
gusto servicio gusto comida inmejorable,servicio
comida deliciosa servicio,servicio
experiencia gastronomica,comida
entorno ideal,ambiente
atencion personal restaurante inmejorable,servicio
pendientes comodos faltara,servicio
sitio maravilla,ambiente
atencion camareros metres cercana aydundandote aconsejandote preguntas,servicio
elegimos menu saludable experiencia llena sabor creatividad,comida
pareja comida menu beer sensations menu rico sabores acostumbras casa maridado   cervezas tercios paulaner    compartir   pax,comida
restaurante boveda ambientada servicio impecable repetir,ambiente
entras cafe oriente sientes arropado epoca trato personal amable,ambiente
menu beer sensations gusta cerveza recomendado,comida
planteado menu sentido,comida
pedimos menu carta valio pena probar platos atipicos,comida
platos clasicos originales precio,comida
posee interiorismo personal eclectico gusto ambiente confortable acogedor detalles cuidados maximo,ambiente
experiencia inolvidable sensorialmente trato humano,servicio
servicio camareros atento explicito plato,servicio
menu degustacion espanol  filipino sorprendente todso platos,comida
comida servicio incluido vino blanco tinto cafe precio ajustado,servicio
experiencia comida atencion ambiente excelente contento,ambiente
platos exquisitos presentados buenisimo   probamos,comida
atencion camareros constante,servicio
comida calidad elaborada servicio esplendido precio razonable,precio
ambientes,ambiente
terraza exterior calle interior sotano bovedas arco ladrillo visto,ambiente
comida atencion,servicio
precio cadenas comida italiana,precio
comidas precios normales,precio
platos pedimos,comida
sirvieron rapido restaurante lleno,servicio
italiano madrid relacion calidadprecio,precio
sitio acogedor,ambiente
comida desear,comida
comida presentacion alta calidad,comida
plato recomendado,comida
restaurante agradable pudimos charlar tranquilamente comimos,ambiente
trato local acogedor comida combinacion sabores propuestas precio,precio
ambiente tranquilo,ambiente
cocina,comida
sitio tranquilo luz suave temperatura,ambiente
local pequeno acogedor,ambiente
comida menu variada opciones gustos volver,comida
creeme comida increible chicos brindan atencion genial precio adecuado,precio
platos personal atento amable,servicio
comida servicio estupendo,servicio
local decoracion obsoleta calor,ambiente
local agradable cena correcta  servicio,ambiente
comida ambiente quieres pasar velada romantica recomiendo,ambiente
ambiente esmerado servicio comida situacion,ambiente
calidadprecio,precio
servicio correcto,servicio
calidad precio atmosfera agradable gracias,ambiente
restaurante bonito come tranquilidad,ambiente
comida espectacular,comida
ambiente agradable musica fondo mejores restaurantes vegetarianos riquisimo calidad personal amable competente,ambiente
descuento resulto caro,precio
ambiente tranquilo comida exquisita,ambiente
carta completa comida rica,comida
sirvieron,servicio
comimos genial buenisima atencion,servicio
placer,ambiente
ambiente agradable mesas pequenas juntas,ambiente
atencion personal entrada,servicio
experiencia sabor platos rico fallaba punto,comida
probamos menu platos sabor mejorables presentacion cantidad,comida
atencion floja veia desbordados,servicio
personal simpatico,servicio
decoracion clasica rustica,ambiente
encanto ido trato comida buenisimos,servicio
cerveza alcohol gluten fantastica,comida
positiva decoracion bonita bonitos ventanales,ambiente
risotto ensalada aguacate berenjenas buenisimo pedimos cerveza ecologica gluten alcohol,comida
comida servicio,comida
comida genial,comida
descuento    carta precio calidad platos razonable,precio
ambiente intimo trato personal agradable,servicio
ambiente agradable aceptacion puesto comedor completo,ambiente
atencion personal pendientes plato plato etc,servicio
presentacion platos notable calidad,comida
amigas estupendamente restaurante falla rico camareros amables discretos,servicio
camareros atentos profesionales comida elaborada imaginativa servida sabrosa,comida
descuento atrapalo precio,precio
platos presentacion rico,comida
servicio comida,servicio
comida ambiente servicio,ambiente
vino tinto imbebible,comida
hola comida rica atencion fatal esperar    minutos reclamar platos merece pena restaurante,servicio
elegimos menu invierno,comida
platos escogimos buenisimos,comida.
servicio atento educado,servicio
local bonito ambiente agradable,ambiente
relacion calidad precio reservas descuento,precio
caso reserva descuento    carta,precio
comida toques originales ambiente agradable,ambiente
presentacion platos estupenda variedad vinos,comida
servicio precio estupendo,precio
sitio acogedor personal amable comida,servicio
recomendable relacion calidad precio,precio
ambiente agradable ruidoso,ambiente
comimos menu   navidad comida presentacion bonita platos entrada,comida
camarero agradable,servicio
pense encanto pobre gris,ambiente.
menu    calidad,comida
prepararon estupenda velada luz tenue acompanada velas,ambiente
ido seguros trato ganado clientes repetiremos ocasion,servicio
ambiente tranquilo acogedor,ambiente
disfrutamos comida menu degustacion,comida
vino acompanaba plato adecuado,comida
servicio excepcional,servicio
espacio grupo disfrutamos cena agobios prisas,ambiente
acudimos cambian menu degustacion sorprendio elaborado preparado,comida
encanta probar sabores texturas menu bordan,comida
comimos menu degustacion raciones abundantes calidad correcta vino servicio,servicio
comida gusto  presentacion atencion estupenda local bonito,comida
bonito ambiente,ambiente
personal servicio amable,servicio
acogedor,ambiente
comida elaborada cantidad,comida
superdo atencion personal calidad,servicio
tranquilidad mitad bullicio,ambiente
grupo amigos reservamos menu hamburguesa maridaje,comida
hamburguesa sorpresa positiva ingredientes vida real rica,comida
camarero simpatico atento ofrecio posibilidad cambiar cerveza menu refresco queriamos,servicio
atencion comida,servicio
menu especial abundante rico,comida
atencion servicio rapido,servicio
lastima comida ambiente tranquilo,comida
comida abundante,comida
sitio bonito tranquilo,ambiente
grupo   personas gusto comida servicio,servicio
queriamos comer terraza cerraban media hora,servicio
cenar salon totalmente desayuno hotel encanto,ambiente
comida abundante deberia retocar menu,comida
atencion,servicio
servicio eficientes agradables comida  opinion mejorable,servicio
tomamos menu degustacion estupendo variado calidad excelente,comida
sitio agradable servicio excelente,servicio
comida buenisima trato excelente sitio decorado,comida
ambiente tranquilo,ambiente
comida abundante,comida
excelente servicio ambiente estupendo,servicio
trato amable,servicio
comida rica,comida
caro oferta,precio
comida relacion calidadprecio servicio atentos,servicio
comida riquisima atencion genial,servicio
comimos carta oferta descuento aplicaron decirles favor restaurante,precio
comida,comida
servicio,servicio
comida platos escasos entrantes,comida
servicio rapido hora servir platos,servicio
precio descuento,precio
servicio rapido comida rica,servicio
negativa precios elevados comparados hindus,precio
comida rica,comida
pan queso rico probado,comida
sitio pequeno agradable personal atendio,ambiente
comida ido,comida
estupendo trato,servicio
reservar antelacion problemas sitio trato estupendo,servicio
restaurante tranquilo comida trato,ambiente
entrantes mundo principales ricos,comida
sitio agradable camareros atentos,servicio
sitio agradable comida,ambiente
servicio atento detalles platos,servicio
descuento atrapalo caro,precio
servicio ambiente,ambiente
elaboracion alimentos calidad paga paga,precio
ambiente clima complicidad romanticismo gracias luces velas decoracion restaurante,ambiente
cenamos amigos tranquilo relajado,ambiente
atencion comida,servicio
ambiente propicio reencuentros,ambiente
sitio agradable,ambiente
local mesa grande espaciosa ambiente reservado reunion,ambiente
comida deliciosa productos calidad,comida
cena amigos perfecto comida servicio cercano profesional,servicio
comida pareja trato correcto amable,servicio
platos ejecutados presentados,comida
precio razonable,precio
comida rica precios elevados,precio
carta parecio cara,precio
descuento atrapalo imposible asumir,precio
platos ricos,comida
sorprendido calidad presentacion platos,comida
descuento    calidadprecio excelente,precio
ambiente trato excelentemuy comida cantidad calidady bares tomar copa,ambiente
pareja cenar trato recibido principio comida perfecta ambiente tranquilo agradable,ambiente
oferta sale precio,precio
sitio estupendo conocia cocido menu degustacion relacion calidad precio,precio
trato agradable servicio rapido cocina estupenda,servicio
plato recomendado,comida
suave tono luz velas mesas vestidas tamano logran ambiente acogedor,ambiente
amabilidad servicio complementan,servicio
pequena pega raciones platos escasas,comida
san valentin encanto comida ambiente restaurante decorado velitas jazz directo cena,ambiente
bebidas caras,precio
menu degustacion buenisimo vas hambre,comida
parmegiana llena comer plato principal postre cuesta,comida
comida,comida
pedi aconsejada camarero papardelle butifarra buenisimos,comida
plato contudente sabores equilibrados,comida
intimo romantico ideal sorprender sorprender pareja comida buenisima amigos,comida
comida genial sabor cantidad platos,comida
tarta queso buenisima tiranmisu,comida
personal eficiente organizacion amable pese presion comida,servicio
restaurante pequeno bonito comida parecio espectacular entrantes postre tarta queso madre,comida
descuento atrapalo relacion calidadprecio,precio
gusto comida zona cenamos tranquila,comida
trato servicio correcto,servicio
pelin caros entrantes sobretodo,precio
comida buenisima,comida
servicio excelente,servicio
comida rica,comida
platos caros oferta atrapalo precio aceptable,precio
servicio lento esperando    minutos sirvieran postre,servicio
caro vas promocion,precio
ido probamos dejan sorprendernos tocaron cangrejos concha blanda carrillera estupendo,comida
lleno desbordados camareros,servicio
exceso salsa platos carne,comida
postre casero coco,comida
comida buenisima,comida
esperabamos comida sabrosa recordabamos visita,comida
sopa tom yan insipida langostinos caracter,comida
pad thai sabroso,comida
comida gusto probamos,comida
tailandes conozco gastronomia gusto,comida
entrantes magnificos,comida
cuarta comida abundante,comida
peores sitios mesas dejan reservas oferta,servicio
servicio lento tardaron servir,servicio
cantidad comida abundante,comida
amplia carta comida tailandesa relacion calidadprecio inmejorable descuento atrapalo,precio
comida estupenda,comida
punto negativo tardan servir platos caros postres bebida,servicio
sabor comida degustamos tailandia,comida
cangrejo cascara blanda riquisimo entrecot sopas buenisimas gusta comida especiada picante,comida
encanta comer horno juan comida,comida
estupendos asados servicio,comida
buenisimo menu calidad precio excepcional,precio
cochinillo exquisito,comida
servicio lento caras largas,servicio
menu compartir entrantes mediocre ponen cantidad,comida
plato principal cochinillo punto asado racion minima resto platos vulgares,comida
pastel cabracho fatal,comida
ido volvere broma cobrar menu    euros vulgar,precio
comida estupenda,comida
rica sopa ajo cordero horno,comida
velada bonita agradable alegre pensarlo rato cena duro     falta,ambiente
servicio actuacion inmejorable,servicio
carta cara,precio
camareros aparte servirte espectaculo unico,servicio
recomendable puedes permitir precio,precio
espectaculo merece pena comidapero servicio  hora espera empezar comer,servicio
cena visperas carnaval terminamos cantando,comida
super atentos,servicio
extraordinaria interpretacion opera escasos metros mesa disfrutas platos elaborados esmero,ambiente
cantantes cantan animan muchisimo velada,ambiente
comida duda momentos miembros castafiore cantaban,ambiente
sitio incomodo impersonal,ambiente
raciones escasas verduras plancha   racion   racion pulpo,comida
verano gusto terraza interior,ambiente
llegar hora cocina atencion comida,comida
comida riquisimacomo,comida
cantidad abundante,comida
trato personal fantastico,servicio
desconocimiento comida resulto copiosa calidad precio,comida
fantastico marco atencion insuperable,servicio
raciones abundantes comida rica,comida
camareros amables atentos,servicio
duda recomiendo descuento atrapalo precio queda,precio
sitio espectacular servicio tranquilo agradable,ambiente
plato recomendado,comida
servicio malo,servicio
amables malas caras,servicio
comida cantidad hecha grasa,comida
pan bebida   estafa,comida
pagas sitio comida cara,precio
mejorar menu,comida
ambiente atenciones,ambiente
deja desear menu ofrecen,comida
atencion muy normal,servicio
recepcion mesa quedaba vimos libres,servicio
atencion personal decoracion perfecta,servicio
comer vistas campo futbol,ambiente
comida basica,comida
especialpero calidad atencion deja desear,servicio
servicio amable  comida precio escasa,servicio
tranquilo agradable,ambiente
servicio atentos amables,servicio
comida cocinada,comida
sitio servicio calidad precio,servicio
relacion calidad precio,precio
cocina calidad materias primas,comida
platos estupendos productos frescos,comida
atendieron,servicio
notable altoservicio rapido amablecomida abundante invitacion chupetes amable,servicio
sitio agradable tranquilo,ambiente
comida normal relacion calidad precio,comida
trato,servicio
comimos riquisimo,comida
precio promocion atrapalo,precio
comida excelente,comida
comi carta muy caro,precio
raciones generosas,comida
salpicon cine merluza fresca,comida
postres gallegos,comida
cena tranquila musica ambiental,ambiente
servicio correcto,servicio
pasamos comida fenomenal,comida
quedamos satisfechos ambiente decoracion,ambiente
platos respondian expectativas trato correcto,servicio
decirsobra amabilidad educacion trato personal lanzada,servicio
comida exquisita tamano platos ideal,comida
encantan nachos queso,comida
sitio decoracion estupenda precioso,ambiente
precios ajustados oferta sabores espectaculares mejicanos mejores tacos fajitas,precio
sitio merece pena servicio    malo,servicio
comida excelente ambiente,ambiente
recomiendo guacamole quesadillas nortenas,comida
comida variada margaritas excelentes personal amable,servicio
comida rica,comida
camareros atienden rapido,servicio
comida ambiente servicio,comida
comida riquisima abundante,comida
calidad precio genial,precio
esperar sirvan trato,servicio
dejamos aconsejar lujo rico excelente comida mexicana estilo local agradable servicio,comida
precio,precio
gusto muchobuena comida precio,precio
comida increible precios normales,comida
variedad comida comparando mexicanos caro,comida
trato amable autentica comida mexicana,servicio
caro raciones pequenas,precio
cena pareja degustando comida rica elaborada presentada,comida
relacion calidadprecio caso oferta degustacion,precio
comida,comida
cerveza mexicana cara,precio
sitio encanto disfrutar velada,ambiente
sitio precioso ideal pareja comida rica,comida
camarero profesional sabiendo aconsejar,servicio
vagon parejitas convierte claustrofobico intimo lleno,ambiente
camareros amables,servicio
excelente comida,comida
comida riquisima excelente servicio trato amable detalle,servicio
ambiente entranable musica romantica bajita idea charlar alguien especial pareja,ambiente
gusto escenificacion parecia estacion antigua tren,ambiente
comida deliciosa trato exquisito camarero pendiente explicando plato servia atento agoviar,servicio
encanto limpio rico,ambiente
comida excelente,comida
pintoresco come fenomenal,ambiente
sitio romantico tranquilo  encanto,ambiente
comida  local acogedor,comida
romantico,ambiente
atencion estupenda comida inigualable,servicio
mujer pareja perfecto entorno ambiente,ambiente
comidacorrecta,comida
restaurante servicio comida,servicio
ruidoso conversaciones llenando,ambiente
local decoracion gustado muchisimo amabilidad camareros servicio,servicio
comida rica platos originales elaborados,comida
pasamos rato divertido comida sorprendio rica,comida
sitio tranquilo casa,ambiente
comida espectacular raciones abundantes cuidadas,comida
personal impresionante atentos dispuestos,servicio
excelente comida trato agradable,comida
empleados atentos,servicio
comida excelente amables,comida
comimos menu rico arroz gusto,comida
ocasion pedimos menu chuleton quedamos completamente satisfechos carne calidad cocinada punto exacto pedi vino entrada exquisita,comida
acorde calidad precio postre menu,precio
lastima tarta industrial,comida
servicio atento,servicio
sitio bonito tranquilo comida sencilla elaborada exquisita,comida
comida relajada ambiente acojedor,ambiente
ambiente tranquilo acogedor,ambiente
servicio rapido atento comida punto carne arroz,servicio
carne chicle comida gusto especialmente,comida
comida rica pescado carne camareros profesionales,comida
comida calidad pedimos menu regalo incluia arroz botella vino,comida
trato personal ambiente agradable,ambiente
rapidamente atendidos restaurante aparece limpio temperatura comida variada suficiente cantidad,servicio
cogimos menu atrapalo genial,comida
comida,comida
cenando tranquilos atencion servicio,servicio
comida calidadel vino elegido cumplio expectativas,comida
agradable comida cantantes sensacionales pedida mano incluida comensales,comida
perfectamente coordinado presentado ambiente especial experiencia,ambiente
elegante magnificos cantantes servicio esmerado comida exquisita precio razonable,ambiente
cena agradable disfrutando voces bonita seleccion piezas opera zarzuela,ambiente
cuidado acogedor trato delicado cliente,ambiente
comida fallos helado cristalitos hielo,comida
edad comensales,servicio
amabilidad excelente servicio rapidez platos unido profesionales deleitan cena voces canciones,servicio
agradable ambiente comida cantantes alto nivel,ambiente
unico negativo tardan plato plato,servicio
sorprendido cena platos elaborados ricos,comida
decoracion chula,ambiente
comida realmente artistas crean ambiente maravilloso,comida
comida exquisita,comida
servicio,servicio
espectaculo genial,ambiente
bonito restaurante carta amplia,ambiente
rico cuidado detalles disfruta,ambiente
copas postres decorados,comida
comida calidad servicio agradable,comida
comida servicio,servicio
familiar acogedor,ambiente
restaurante recomendable comida fenomenal servicio excelente,comida.
recomiendo volveremos puesto comida,comida
pelin alto precio,precio
fatal esperanefasto,servicio
comida excelente camareros agradables,comida
cuidada decoracion carta original,ambiente
ambiente menu variado exquisito,comida
reserva hecha indicaron problema sentaron mesa,servicio
pedimos menu    euros completo normalitos carne minihamburguesas ricas,precio
trato amable ambiente informal,servicio
comida precio razonable excelente servicio,servicio
comimos cantidad razonable,comida
reservamos sitio comer wizink center partido ballet llegamos esperaron sirvieron correctamente agrado,servicio
comida rica,comida
rapidez servicio,servicio
acogedor decorado,ambiente
ambiente tranquilo familiar,ambiente
atencion servicio,servicio
quereis sitio tranquilo intimo venir,ambiente
gusto comida servian fria costillas secas salsa ketchup mostaza,comida
arroz horno,comida
menu opciones postre restaurante elegir,comida
ambiente atencion,servicio
comida sitio merece pena,comida
cena contundente   demora servicio,servicio
servicio camareras postre,servicio
camareros atentos sabores,servicio
tranquilo ambiente agradable comer,ambiente
sitio frecuencia variedad cervezas platos sugerencias etc,comida
comida salimos llenos calidad excesivo precio,precio
salir camareros pendientes cerrar irse cobrarnos,servicio
excelente relacion calidadprecio,precio
comida rica muhca cantidad menu,comida
aperitivo principio detallazo  requisimo chorizo picante,comida
personal ambienteel servicio amabilidad,servicio
beber alcohol cambiaron vino refresco cervezas,comida
comida estupenda personal gerencia atentos amables ambiente distendido agradable,servicio
restaurante relacion calidadprecio,precio
cenamos menu atrapalo consta raciones abundantes calidad servicio correctos,servicio
bebida incluida pedimos vino blanco sacaron cubitera agradece,servicio
ambiente cantidad comida excelente,ambiente
comida calidad amabilidad servicio repetiremos seguro,comida
gusto trato,servicio
local comida fenomenal,comida
servicio lentotardaban plato platose veia desbordados,servicio
camareros atentos calidad productos,servicio
servicio comida menu cantidad vino,comida
platos contundentes cocina tradicional calidad,comida
servicio ambiente espacioso tranquilo,ambiente
calidad precio normal,precio
servicio normalito tirando malo,servicio
ambiente precisamente,ambiente
viejo,ambiente
servicio atento rapido,servicio
menu degustacion,comida
trato amable,servicio
comida estupenda,comida
servicio,servicio
tranquilo agradable comida sugerente,ambiente
trato servicio exquisito,servicio
comida elaborada totalmente recomendable,comida
menu amplio calidad,comida
encontramos justo buscabamos tranquilo atencion servicio cena romantica,servicio
ocasiones comida,comida
ambiente iluminacion musica adecuada exquisita comida,ambiente
tartan delicioso sushi espectacular langostinos tempura crujiente sabroso,comida
aprovechamos semana comida japonesa    sushi precio pagamos habitualmente visitamos restaurante,precio
precio esperabamos,precio
abundante rico barato,precio
menu estupendo completo cuidado,comida
menu japones week,comida
atencion correcta,servicio
menu semana promocional,comida
calidad precio,precio
ambientacion camarera atentisima servicial,servicio
comida postres estupendos,comida
trato exquisito espacio precioso precio,servicio
servicio atento rapido,servicio
comida excelente  especial pastella farci,comida
comida encanto unico deberian avisar platos generosos cena,comida
pena quedara plato tocar,comida
economico oferta    llevadero,precio
sentarnos pedir menu degustacion maitre solicitar queriamos tomar sirvieran comida indica descuento menu cosa falta cortesia hablado quedado telefono,servicio
ambiente falta realmente transporte decoracion conseguida local,ambiente
decoracion restaurante espectacular comida buenisima,ambiente
tomamos perfecto tajin pollo cous cous cordero entrantes variados,comida
carta vinos extensa,comida
espectaculo genial ambiente acogedor,ambiente
sitio chulo encanto comida,comida
ambiente agradable comida servicio impecable atentos a,servicio
platos elaborados servidos descuento merecen pena,comida
comida calidad,comida
trato personal sobresaliente,servicio
atentos hijos,servicio
