A,B
"Nos atendió nada mas llegar Mark,muy profesional y pendiente en todo momento para que nos sintiéramos como en casa.",positivo
La cena muy sabrosa y bien trabajada.,positivo
Optamos por el menú 3 y no nos arrepentimos .,positivo
"Bueno, bonito y barato.",positivo
Hemos disfrutado de este restaurante en varias ocasiones.,neutral
La comida siempre excelente y bien presentada.,positivo
Más calidad que cantidad.,neutral
"Muy bonito ambientado, con salas muy acogedoras y una buena separación entre las mesas.",positivo
Es la segunda vez que voy con mi pareja.,neutral
Me gustó mucho más la primera.,neutral
El menú era bastante simple para el precio que es.,neutral
Comida estupenda a buen precio y con un servicio excepcional,positivo
Nos encantó el sitio y todo lo que probamos estaba delicioso.,positivo
"Además el servicio fue excelente, nos atendieron varios camareros y todos fueron super atentos.",positivo
Comida escasa e insulsa.,negativo
Está muy bien por ese precio pero la comida pensaba que me iba a impresionar más!!,neutral
esta genial para un menú degustación en pareja!,positivo
Ambiente muy bonito y discreto.,positivo
La comida riquísima!!!,positivo
El 1º era un yogurt con ralladura de zanahoria al que denominaban de 2º arroz con zanahoria y dos langostinos,neutral
de postre un vasito de stracciatella del tiempo con un poco de brownie.,neutral
Comida insulsa y escasa,negativo
"Una reunión de amigas de la juventud en pleno mes de agosto con nosotros no menú fresco, rico, fenomenalmente bien servido... Para qué más!",positivo
Muy recomendable para cenas en pareja.,positivo
"Encanto especial, íntimo y tranquilo.",neutral
"Música clásica, velitas.",neutral
"Actualmente están de reforma, apenas se nota.",neutral
"Cenamos de fenomenal a un precio de muy económico, el local precioso, la comida exquisita y el personal muy amable",positivo
Gran ambiente con unos platos bastante sabrosos y con muy buena presentación.,positivo
Lo recomendaría sin dudas.,positivo
"Si buscas un lugar romántico y exquisito en ambiente, trato y buen comer, no lo dudes.",positivo
"Tuvimos una velada de lo más romántica en un restaurante precioso y acogedor, ideal para parejas o para ir con amigos buscando calma y ambiente tranquilo y delicado.",positivo
La cocina es de sobresaliente.,positivo
"Incluía varios platos a elegir, todo exquisito.",positivo
"La carrillera era una delicia, también la merluza... Y el postre, de locura.",positivo
Ha sido algo increíble.,positivo
Alta cocina al alcance de todos.,neutral
"Aquí son profesionales del sector, saben lo que hacen y se esfuerzan por no fallar.",neutral
"Las raciones, perfectas.",positivo
"Ni muy muy grandes, que al final da pena tirar comida, ni pequeñas.",neutral
Cocina de muy buena calidad.,positivo
Adorable cenar con música clásica y velas.,positivo
"Tuvimos una velada excepcional, la atención, la comida, el ambiente... Todo perfecto.",positivo
Elegimos el menú degustación y la comida estaba buenísima además de cantidades generosas.,positivo
"El servicio estupendo, muy atentos y rápidos.",positivo
"Describir el trato y la buena comida es muy difícil, es mejor ir y opinar uno mismo!",neutral
Para mi siempre es excelente!!!,positivo
Buena calidad y buen servicio a buen precio,positivo
"Fui con mi Esposa, buen servicio, muy buena carne.",positivo
"Muy bueno el menú Agnus en calidad-precio, la carne riquísima",positivo
Comimos genial.,positivo
Una de nosotras Celiaca y la atención fue espectacular .,positivo
"Buenísima comida, excelente ambiente y buen trato al público.",positivo
"Bonito el sitio, fuimos en diario un miércoles con lo cual no había nadie teníamos el restaurante para nosotros, los camareros muy atentos.",positivo
Nosotros degustamos el menú para dos y todo muy rico.,positivo
"Trato bueno, ambiente bueno pero la comida dejó mucho que desear.",positivo
salimos mi mujer y yo muy satisfechos la comida genial y la atencion muy bien tambien,positivo
Un sitio donde degustar verdadera carne argentina,neutral
"Excelente atención, buena comida , buena música, excelente ambiente... a nosotros nos encantó todo!!",positivo
Quedamos muy satisfechos y con ganas de repetir.,neutral
Recomendado!!,positivo
"muy Buena, servicio bueno y mucha calidad",positivo
La comida está buena y el trato es agradable,positivo
"Para un menú de 30, los entrantes son decepcionantes... no tanto por cantidad que también, sino por variedad.",negativo
El menú degustación es tremendamente pesado.,negativo
Abundante pero faltó servir en platos calientes.,neutral
Por lo demás el sitio es acogedor y el servicio bueno.,positivo
"Bastante mal presentada, falta de especias y sabores.",negativo
Decoración bastante abandonada tirando a cubre.,negativo
Los Camareros Perfectos.,positivo
"Me desilusionó mucho que un viernes por la noche no hubiera espectáculo, elegí este restaurante por eso.",negativo
"La comida algo escasa con el menú, salimos con algo de hambre.",negativo
Quería probar algo de comida diferente y me gustó el sitio.,positivo
La comida estaba rica y el ambiente era agradable y tranquilo.,positivo
"Excelente calidad/precio, comida deliciosa y servicio rápido y atento.",positivo
"Mal servicio, comida fría y nada apetecible.",negativo
me encanta la comida y los detalles al servirla,positivo
"el precio es más que razonable por la cantidad, lo rápido que te sirven y la calidad.",neutral
todo tiene un sabor muy auténtico y te ponen para llevar lo que te sobra.,positivo
Fui con mi pareja y lo pasamos muy bien.,positivo
El menú es muy rico y completo y la atención estupenda,positivo
"Muy buena comida, buen ambiente, el servicio muy amable.",positivo
"Muy rica la cena del menú combo ,donde se puede degustar una serie de platos totalmente diferentes y con espectáculo las noches del viernes y sábado.",positivo
Buen ambiente con trato cercano y comida deliciosa,positivo
"Todo muy rico, buen servicio.",positivo
Muy bien y la comida muy buena,positivo
Lugar para comer auténtica comida árabe con buen servicio aunque falla un poco el local.,positivo
Precio asequible para una comida rica en sabores.,positivo
El local esta un poco anticuado y el tamaño de las mesas... para cuatro... un poco justas.,negativo
El te moruno y los dulces riquísimos,positivo
La cantidad de comida está bien y nosotros somos de comer.,positivo
Comida buenísima a un precio muy bueno!,positivo
El menú degustación un éxito.,positivo
Pruebas diferentes platos y son grandes.,neutral
Comimos dos personas hasta no poder más.,neutral
El personal es amable y el sitio muy tranquilo.,positivo
"La comida fue excelente, platos muy elaborados y caseros.",positivo
"Los platos que más nos gustaron fueron el falafel, la pastela y el cuscus con pollo, sin olvidar los pastelitos de hojaldre.",positivo
"El sitio es bonito, la decoración curiosa y el trato estupendo",positivo
"Era el último día que abrían en verano, así que el ambiente era más que tranquilo pero la atención fue muy correcta, el trato muy cercano y la comida buenísima!!!",positivo
"Recomendable, ambiente tranquilo.",positivo
"Una comida muy agradable, como en casa pero mejor.",positivo
Estupenda relación calidad-precio.,positivo
"Platos caseros, muy elaborados, recién hechos y en la cantidad justa.",neutral
maravillosa tanto en el trato como en la calidad d e la servicio,positivo
"Fui a cenar con mi marido antes de ir al teatro y fue una cena muy corriente,nada estaba malo ni tampoco digno de resaltar",neutral
"Nos atendió la dueña del local, todo estupendamente decorado con cuadros del quijote, forjas y libros por todos los lados, la ambientación muy cuidada.",positivo
"Empezamos con unos entrantes o primeros exquisitos, bien cocinados y sabrosos, seguimos con los segundos.",positivo
"Un poco de todo, desde la hamburguesa (si había hamburguesa de buey), pasando por solomillo y albondigas, hasta pescados como salmón.",neutral
Todo muy bien cocinado.,positivo
"Probamos los postres caseros, dulces y estupendos, con chocolate blanco y con leche.",neutral
"Lo mejor para mí la tarta de queso, que no tiene nada que ver con tartas de queso que haya probado hasta ahora, muy ligera y de sabor excepcional.",positivo
Ambiente muy agradable durante la cena y anfitriona de 10.,positivo
"Una pasada ,tanto la atención, como el servicio y la calidad de la comida y el precio espectaculares.",positivo
Te hacen sentir como si fuera tu casa.,neutral
Fui a cenar con mi pareja y tanto la comida como el trato fueron excelentes por parte del servicio que nos atendió.,positivo
Todo el personal majísimo.,positivo
"Con los mismos precios de la carta,hay muchos establecimientos con mejor presencia y ambiente",neutral
No es la primera vez que voy a este restaurante.,neutral
"magnifica para grupos de 5 a 8 comensales, el servicio es bueno y la cocina también, los platos muy bien preparados, la carta no es amplia pero lo que tienen es muy buena calidad.",positivo
La relación precio calidad es buena y el vino de la casa estupendo.,positivo
Ambiente tranquilo.,positivo
El servicio amable.,positivo
La comida buena.,positivo
Ideal para compartir con la pareja o un pequeño grupo.,neutral
No está mal para tenerlo en cuenta si buscas una cena a última hora.,neutral
Fuimos a cenar con un menú cerrado con variedad de platos todos estaban buenísimos.,positivo
La atención fue espectacular.,positivo
El lugar muy chulo y tranquilo.,positivo
También tiene una terraza exterior muy agradable para tomar algo.,positivo
Fui con mi hermana y mi cuñado y salimos encantados con el restaurante y la comida.,positivo
"La única pega que le vimos es que el servicio es bastante lento, pero bueno, era un sábado e íbamos sin prisa.",negativo
"El sitio tiene una ubicación privilegiada con una terraza super agradable, y la atención por parte del personal es excelente.",positivo
"Excelente menú, la cena fue riquísima y los cockteles (espresso martinis!)",positivo
Hemos estado ahí para mí cumpleaños y ha sido todo muy bueno.,positivo
Pedimos el menú degustación que estaba fenomenal !,positivo
Un sitio estupendo en el que siempre te encuentras a gusto.,positivo
Muy atentos y agradables aunque me gustaba más la decoración,positivo
Fuimos mi pareja y yo por San Valentin y pedimos el menú que habia disponible para esta ocasión.,neutral
"Todo estaba buenísimo y muy buena elección de los platos que incluía ese menú, muy sabroso y de calidad.",positivo
"Los camareros fueron muy simpáticos y estuvieron atentos en todo momento, preocupándose de que todo fuera a la perfección.",positivo
El lugar es muy agradable y el ambiente también.,positivo
Se nos hizo tan agradabla la cena que estuvimos dos horas!,neutral
Lugar apropiado para una cena romántica,neutral
"Comida vanguardista, todo muy bueno, el restaurante muy bien y los camareros muy atentos",positivo
Muy recomendable para ir con la pareja y amigos.,positivo
"El menú realmente muy bueno, el postre... un poco flojo, sobre todo en comparación con lo bueno que fue el menú.",positivo
El servicio muy bien.,positivo
Estuvimos muy tranquilos en un ambiente acogedor dónde disfrutamos de la cena tanto por la comida como por el ambiente.,positivo
"Buen sitio, cocina calidad precio buena, buen servicio, en la terraza con buen tiempo es muy agradable.",positivo
"Ambiente agradable, recomendable",positivo
Buen trato el local por dentro muy bonito y la comida de calidad y cantidad adecuada.,positivo
"La comida es espectacular, los entrantes muy buenos y el segundo en su punto ( tomamos bacalao y entrecot de buey).",positivo
"La atención muy buena, los camareros muy atentos y el ambiente muy tranquilo y agradable.",positivo
"Fue una cena en familia, el local muy acogedor, el camarero muy amable y atento y la comida buenísima!!",positivo
"me sorprendio la calidad,variedad y presentacion de los platos",positivo
En una año he ido tres veces a La chulapa de Alcalá y he tomado el Menú Mediterráneo.,neutral
Ir a La Chulapa es saber que vas a comer muy bien y no te va a defraudar.,positivo
Muy buena relación calidad-precio.,positivo
Es una apuesta segura tanto si se vas en pareja o con más personas,neutral
"Cenamos relajadamente, el personal fue muy atento en todo momento.",positivo
La cena exquisita.,positivo
"Muy recmendables las alcachofas, el atún y el bacalao en todas sus recetas.",positivo
"Genial, probamos el menú mediterráneo relación calidad precio excelente",positivo
Ambiente optimo con buen servicio y comida para un encuentro sea familiar o en pareja,positivo
El servicio muy bueno y atentos La comida deliciosa El ambiente es bueno ideal para parejas y amigos,positivo
Buena noche en la que la comida estaba riquísima con gran variedad de productos,positivo
fuimos por casualidad y seguro que volvemos con los amigos,neutral
Desde el primer momento me llamó la atención la simpatía del personal y la rapidez del servicio.,positivo
Un sitio aceptable y tranquilo donde el buen comer no está reñido con el bolsillo,positivo
"Cantidad mas que suficiente, tomamos el menú especial,20 euros mas bebidas.",positivo
"Y los platos principales espectaculares,muy ricos : el bacalao, el atún y el pato.",positivo
"Los entrantes mas decepcionantes,sobre todo la tortita de camarones,sabia a aceite refrito.",negativo
"Trabajo muy cerca, voy siempre que tengo que hacer tardes o cuando quedo por el centro con amigos.",neutral
La comida muy buena pero obligan a pedir todos los platos a la vez y mientras esperas no ponen ni unas aceitunas para picar.,negativo
Todo estaba muy bueno y la relación calidad-precio es muy buena.,positivo
La comida estaba fenomenal y el servicio muy bueno,positivo
Sorprendente combinación de sabores.,positivo
Toda una experiencia para el paladar.,positivo
"La comida toda muy rica, quizá esperaba sabores más intensos (pero también se repiten más de haberlos) y los camareros muy amables.",positivo
"El precio correcto, quizá un pelín caro para mi gusto, pero no conozco mucho este tipo de restaurantes.",neutral
Comida muy buena y trato amable,positivo
"Buen ambiente y mejor trato, la comida no es mala pero para mi gusto le falta algo de sabor, aún así buen lugar para probar",positivo
Todo muy rico...como siempre.,positivo
El trato exquisito y la comida buenísima.,positivo
"Los precios caros, pero con el descuento de atrápalo se queda asequible.",negativo
Comida de buen sabor en un tranquilo ambiente.,positivo
Agradable para cenar e innovar sobre lo habitual.,positivo
"Fuimos por primera vez el domingo pasado y aunque no conocemos muchos platos de ésta gastronomía, si sabemos que nos gusta sus sabores.",positivo
Elegimos éste sitio por la valoración y el precio (descuento en carta).,neutral
"Antes solíamos ir al Delhi, que está en princesa pero han eliminado las ofertas y nos resulta un poco caro.",neutral
Elegimos platos sencillos y no nos decepcionaron.,positivo
"El servicio fue correcto, un pelin de frío (en mitad de la comida entramos en calor con la potencia de los sabores del Tandoori Chickenel y el Lamb Sag).",positivo
Cheese Naam muy rico aunque pequeño y entrantes muy correctos.,positivo
"Me ha encantado, sin duda repetire, las raciones son abundantes y todo muy rico y el servicio impecable.",positivo
Si buscais un buen restaurante de comida india este es uno de ellos.,positivo
He comido en otros indios y este es el que más me ha gustado.,positivo
Aunque deben renovar un poco la estética y mobiliario.,negativo
Es la segunda vez que voy y la verdad es que todo lo que pedí estaba muy rico... si vas con los descuentos de atrápalo te sale bastante bien de precio,positivo
Fuimos un grupo grande de amigos y todos salimos muy contentos,positivo
"Como siempre es un acierto comer en Curry Masala, buena comida , lugar tranquilo y buen trato.",positivo
Comida de calidad media,neutral
Fuimos por probar algo diferente y nos sorprendió enormemente.,neutral
La comida exquisita y el servicio inmejorable,positivo
"Buena comida, gran relación calidad precio, y sabor indú",positivo
"Servicio excelente, comida muy buena y fiel a su origen.",positivo
Es la segunda visita en este mes y repetiremos más veces hasta ir degustando todos los platos.,positivo
La carta es variada y la comida deliciosa.,positivo
La atención y el trato es muy personal y cuidadoso con los detalles.,positivo
Y el espectáculo que ofrecen con sus impresionantes voces y el piano de fondo es para quitarse el sombrero.,positivo
"Es un espacio donde congenia arte, gastronomía y buen ambiente.",positivo
Es una pasada cenar rodeada de tanta gente linda.,positivo
Nos atendieron fenomenal desde el primer momento!,positivo
La comida estaba riquiiiisiimaaa!!!,positivo
Sales saciado de tanto comer.,neutral
Y la cuenta nos salió a unos 15 por persona.,neutral
Era mi primera vez en un hindú y estoy deseando volver a repetir.,positivo
Yo soy vegetariana y me atendieron genial,positivo
"El sitio muy agradable, los camareros atentos y la comida muy buena.",positivo
Fuimos 2 adultos y una niña.,neutral
Tanto la atención como la comida estuvieron perfectas.,positivo
La comida del menú es variada y la verdad que bastante cantidad.,positivo
Los camareros son de lo mas amable!,positivo
"Da una sorpresa e invita para disfrutar, puede ser un cumpleaños como fue en mi caso, disfrutaran, como lo hicimos nosotras.",neutral
El servicio bueno pero la comida regular y poca cantidad (menos cantidad que a las personas que no tienen oferta).,negativo
"Decoración horrible, muy frío.",negativo
"La comida super escasa y muy sosa, el personal super borde",negativo
"Muy buen menú de 12,50, mucha comida, trato inmejorable.",positivo
Tienen un camarero brasileño muy simpático.,positivo
Es la cuarta vez que vamos.,neutral
"La comida estaba muy rica aunque deberían advertir que el picante es XXXL, el servicio bien.",positivo
Comida buena para mi gusto falto más picante.,positivo
El camarero debería preguntar nivel de picor,negativo
"Muy agradable, sabores de todos los rincones, solo los postres rompían esta experiencia.",neutral
"La decoración del local deja un poco que desear, está bastante viejo todo.",negativo
"Es la tercera vez que vamos a este restaurante con la familia, la comida está muy buena , el servicio correcto y el local agradable.",positivo
Un sitio muy bueno para comer en el centro de madrid con la familia.,positivo
Excelente como siempre.,positivo
"Trato cordial, comida excelente.",positivo
Calidad-precio insuperable.,positivo
Para compartir con amigos excelente.,neutral
"No me pareció nada especial ni el sitio, que era bastante lúgubre ni la comida que fue en general mala, al menos el menú atrapalo.",negativo
Era la primera vez que probaba la cocina india y la experiencia ha sido muy satisfactoria.,positivo
Todo muy rico y el servicio super amable.,positivo
Los precios del menú asequibles.,neutral
Fue una comida de grupo de 6 personas donde todos quedamos muy conformes.,neutral
"El trato del servicio bueno, la rapidez, comida y postes.",positivo
La única pega es la cantidad de comida del menú que escogimos.,neutral
"me gustó el servicio, me gustó mucho la comida y el lugar es inmejorable.",positivo
"Está emplazado en un lugar inigualable del centro de Madrid, muy agradable en especial para una velada romántica.",positivo
La comida está deliciosa y tiene un servicio muy bueno,positivo
Buena experiencia gastronómica.,positivo
Entorno ideal.,positivo
Cenamos en la terraza con vistas al Palacio Real.,neutral
La atención por parte del personal del restaurante inmejorable.,positivo
Pendientes de que estuviéramos cómodos y que no nos faltara de nada.,positivo
El sitio es una maravilla!,positivo
"La atención de sus camareros, metres es cercana, aydundandote y aconsejándote en todo lo que les preguntas.",positivo
Elegimos el menú saludable y es una experiencia diferente y llena de sabor y creatividad.,positivo
"Fuimos en pareja, comida con el menú beer sensations, un menu muy rico, sabores que no acostumbras en tener en casa, maridado con 5 cervezas (tercios excepto Paulaner 1/2 l.) para compartir 2 pax.",positivo
"El restaurante y su bóveda muy bien ambientada, con un servicio impecable, para repetir!!!",positivo
Desde que entras al Café de Oriente te sientes arropado por otra epoca y el trato del personal fue muy amable.,positivo
"Con respecto al menú Beer Sensations, si te gusta la cerveza está muy recomendado.",positivo
Muy bien planteado el menú y todo con mucho sentido.,positivo
"No pedimos el menú, solo a la carta y valió la pena probar platos atípicos....",positivo
"platos clásicos y originales, muy bueno dentro de su precio",positivo
"El lugar poseé un interiorismo muy personal y ecléctico con mucho gusto y el ambiente es muy confortable y acogedor, todos los detalles están cuidados al máximo.",positivo
Una experiencia inolvidable tanto sensorialmente como en el trato humano.,positivo
El servicio de camareros muy atento y explícito con cada plato.,positivo
El menú degustación español - filipino sorprendente en todso sus platos.,positivo
"Buena comida, buen servicio, todo incluido (vino blanco, tinto, cafe...) por un precio ajustado.",positivo
"Fue una experiencia muy buena, comida, atención y ambiente excelente, muy contento.",positivo
"Los platos eran exquisitos, bien presentados, todo buenísimo (y éramos 7 así que probamos casi todo).",positivo
La atención de los camareros constante.,neutral
Las vistas al Palacio Real únicas.,positivo
Comida de calidad bien elaborada por un servicio espléndido a un precio razonable,positivo
Restaurante italiano de calidad en el centro de Madrid.,neutral
Tiene tres ambientes.,neutral
"Terraza exterior a la calle, interior y sótano con bóvedas de arco y ladrillo visto.",positivo
La comida buena y también la atención.,positivo
Precio mejor que en otras cadenas de comida italiana.,positivo
La comidas está buena y los precios normales,neutral
Todos los platos que pedimos estaban muy buenos.,positivo
Nos sirvieron muy rápido y eso que el restaurante estaba lleno.,positivo
Mejor Italiano de Madrid en relación calidad-precio,positivo
Sitio poco acogedor.,negativo
"Además, la comida dejó mucho que desear.",negativo
La comida muy buena y con buena presentación de alta calidad,positivo
Plato recomendado,positivo
"El restaurante es muy agradable, pudimos charlar tranquilamente y comimos muy bien",positivo
La verdad que nos sorprendió que el local estuviera vacío (quizás por las fechas de agosto que eran).,neutral
"El trato muy bueno, el local acogedor, y la comida, una buena combinación de sabores y propuestas a muy buen precio.",positivo
Ambiente tranquilo.,positivo
Cocina muy buena.,positivo
"El sitio estaba tranquilo, con luz suave y buena temperatura",positivo
El local es pequeño pero muy acogedor.,positivo
La comida del menú es muy variada y con opciones para todos los gustos Para volver,positivo
"Fui con una amiga, el sitio visto desde fuera parece menos de lo que es.",neutral
"Llegamos y estaba vacío, pero en 20 minutos no quedaba ni una mesa libre.",neutral
"Y créeme, la comida es increíble, los chicos brindan una atención genial y el precio es más que adecuado.",positivo
Los platos en general buenos y el personal Atento y amable.,positivo
"Sitio para pasarlo bien en pareja, amigos o gente del curro, nada de ambiente formal o familiar.",neutral
La comida y el servicio estupendo.,positivo
El local con la decoración obsoleta y hacia mucho calor,negativo
"Local agradable y la cena más que correcta , buen servicio",positivo
"Buena comida y muy buen ambiente, si quieres pasar una velada romántica y te lo recomiendo.",positivo
"Un buen ambiente, esmerado servicio y buena comida, la situación buena .",positivo
Buena calidad/precio.,positivo
Servicio correcto,neutral
"la calidad contra el precio es bueno y atmosfera es muy agradable, gracias",positivo
El restaurante es bastante bonito y se come con tranquilidad.,positivo
La comida es espectacular!!!!,positivo
"Ambiente Agradable, con música de fondo, uno de los mejores restaurantes vegetarianos, todo riquísimo y de mucha calidad, personal amable y competente.",positivo
Con el descuento no resultó ser caro.,neutral
Ambiente muy tranquilo y la comida exquisita.,positivo
Muchas opciones para veganos.,neutral
Carta bastante completa y comida muy rica.,positivo
Sirvieron bien.,positivo
"Comimos genial, buenísima atención.",positivo
"Un sitio estupendo para probar delicias vegetarianas, completamente recomendable y de obligada visita si estas en Madrid y eres vegetariano/vegano.",positivo
"Me pareció un local muy acogedor, ideal para ir con amigos y probar nuevas experiencias.",positivo
La comida muy buena y el servicio bastante bueno.,positivo
Un placer de lugar.,positivo
El ambiente es agradable aunque las mesas un poco pequeñas y bastante juntas.,positivo
La atención del personal muy buena desde la entrada.,positivo
"En general, la experiencia fue buena, el sabor de los platos muy rico, pero a alguno le fallaba el punto.",positivo
"Probamos el menú del día y los platos no estaban mal de sabor pero eran mejorables, también en cuanto a presentación y cantidad.",negativo
"La atención, floja, se les veía un poco desbordados.",negativo
¡Personal muy simpático!,positivo
"Está ubicado en el centro, cerca del Thyssen y del Prado y a 5 min de la plaza del Sol, en una típica callejuela del barrio de las Letras donde se pueden encontrar un sinfín de restaurantes.",neutral
Decoración clásica y/o rústica.,neutral
"Nos encantó, hemos ido ya varias veces y el trato, comida son buenísimos.",positivo
Nos gusta mucho este sitio.,positivo
Y la cerveza sin alcohol ni gluten fantástica,positivo
"Positiva, decoración bonita y bonitos ventanales.",positivo
"El risotto, la ensalada de aguacate, berenjenas todo buenísimo y además, pedimos una cerveza ecológica, sin gluten y sin alcohol.",positivo
Muy buena la comida y muy buen servicio.,positivo
Era la segunda vez que fuimos.,neutral
La comida genial.,positivo
"Con el descuento de 30% en carta, el precio respecto a la buena calidad de los platos fue razonable.",positivo
Ambiente intimo y el trato del personal muy agradable.,positivo
El restaurante está muy bien ubicado.,positivo
"A unos pasos de la estación de ópera, para los que nos manejamos con transporte público.",neutral
"El ambiente, agradable y con bastante aceptación puesto que el comedor estaba bastante completo.",positivo
"La atención del personal muy buena, siempre pendientes entre plato y plato etc.",positivo
"La presentación de los platos muy notable, así como la calidad de los mismos.",positivo
"Estuvimos tres amigas y todo fue estupendamente, este restaurante nunca falla, todo está rico y además los camareros son muy amables y discretos.",positivo
"Camareros muy atentos y profesionales, comida elaborada e imaginativa, muy bien servida y sabrosa.",positivo
Y con el descuento de Atrapalo muy bien de precio.,positivo
Fuimos a cenar y salimos muy contentos de allí.,positivo
Los platos de gran presentación y muy rico todo.,positivo
Es la segunda vez que voy y tanto el servicio como la comida es muy bueno,positivo
"Buena comida, buen ambiente y muy buen servicio",positivo
Vino tinto imbebible.,negativo
"Hola, la comida estaba rica, la atención fatal tuvimos que esperar más de 20 minutos, y encima reclamar los platos, no merece la pena el restaurante.",negativo
Elegimos el menú de invierno.,neutral
Todos los platos que escogimos estaban buenísimos,positivo
El servicio muy atento y educado.,positivo
Un restaurante agradable con una carta atractiva y muy buena presentación en sus platos pero baja calidad en sus productos.,positivo
Reservé para un lunes y me sorprendió la cantidad de gente que había.,neutral
El local es muy bonito con un ambiente agradable.,positivo
Buena relación calidad precio si reservas con descuento.,positivo
En nuestro caso la reserva era descuento del 30% en carta.,neutral
Buena comida con toques originales en un ambiente muy agradable.,positivo
La presentación de los platos es estupenda y hay variedad de vinos.,positivo
Buen servicio y un precio estupendo.,positivo
"Sitio acogedor, personal amable y buena comida.",positivo
Recomendable por la relación calidad- precio.,positivo
Ambiente agradable pero muy ruidoso,negativo
"Comimos el menú 3 navidad, buena comida con una presentación bonita sobre todo los platos de entrada.",positivo
Un camarero agradable,positivo
"Pensé que era un lugar con encanto y para nada, lugar pobre y gris.",negativo
 Menú de 35? sin calidad,negativo
Cuando llegamos nos ofrecieron la posibilidad de cenar en la parte de arriba o en la cueva.,neutral
"Nos prepararon una estupenda velada, con luz tenue acompañada de velas.",positivo
"No habíamos ido nunca antes pero de lo que estamos seguros es que, con ese trato y buen hacer, se han ganado dos clientes: Repetiremos en cuanto tengamos ocasión.",positivo
"Ambiente tranquilo, acogedor.",positivo
Disfrutamos la comida del menú degustación.,positivo
El vino que acompañaba a cada plato era muy adecuado.,positivo
El servicio excepcional.,positivo
Estuvimos en un espacio para nuestro grupo en el que disfrutamos de la cena sin agobios ni prisas.,positivo
Siempre acudimos cuando cambian el menú degustación y una vez más nos sorprendió por lo elaborado y bien preparado.,positivo
Nos encanta probar diferentes sabores y texturas en un mismo menú y creo que lo bordan.,positivo
Comimos el menú de degustación con unas raciones abundantes y de calidad correcta con un buen vino y un muy buen servicio.,positivo
El sitio está ubicado en el centro cerca de la puerta del sol y es un lugar muy acogedor y bonito.,positivo
Aunque por su ubicación pueda parecer un sitio típico de turistas no es así.,neutral
"la comida nos gustó mucho , la presentación muy buena y la atención estupenda El local muy bonito .",positivo
"Muy bonito, buen ambiente y muy bueno todo",positivo
fuimos 6 personas y nos gustó mucho a tod@s,neutral
Personal de servicio muy amable.,positivo
Lugar muy acogedor.,positivo
Comida muy bien elaborada y mucha cantidad.,positivo
"Es la segunda vez que hemos estado y ha superdo a la primera, la atención del personal es lo mejor, aunque la calidad es muy buena.",positivo
Tranquilidad en mitad del bullicio,positivo
Fuimos un grupo de amigos y reservamos el menú de la hamburguesa maridaje.,neutral
"La hamburguesa fue una gran sorpresa positiva, porque aunque sabes qué ingredientes lleva, en la vida real está mucho más rica.",positivo
"El camarero fue muy simpático y atento, y nos ofreció la posibilidad de cambiar la cerveza del menú por un refresco si queríamos.",positivo
Muy buena atención y servicio,positivo
El menú especial es muy abundante y está muy rico.,positivo
Buena atención y servicio bastante rápido.,positivo
"Lástima que este tan solo, pero la comida está muy bien y el ambiente demasiado tranquilo.",positivo
La comida estuvo bien y abundante.,positivo
El sitio bonito y tranquilo,positivo
