A	B
recomendable ambiente tranquilo	positivo
comida agradable casa	positivo
estupenda relacion calidadprecio	positivo
platos caseros elaborados recien hechos cantidad justa	neutral
maravillosa trato calidad servicio	positivo
cenar marido teatro cena corrientenada malo digno resaltar	neutral
atendio duena local estupendamente decorado cuadros quijote forjas libros lados ambientacion cuidada	positivo
empezamos entrantes exquisitos cocinados sabrosos seguimos segundos	positivo
hamburguesa hamburguesa buey pasando solomillo albondigas pescados salmon	neutral
probamos postres caseros dulces estupendos chocolate blanco leche	neutral
tarta queso tartas queso probado ligera sabor excepcional	positivo
ambiente agradable cena anfitriona	positivo
atencion servicio calidad comida precio espectaculares	positivo
sentir casa	neutral
cenar pareja comida trato excelentes servicio atendio	positivo
personal majisimo	positivo
precios cartahay establecimientos presencia ambiente	neutral
magnifica grupos     comensales servicio cocina platos preparados carta amplia calidad	positivo
relacion precio calidad vino casa estupendo	positivo
ambiente tranquilo	positivo
servicio amable	positivo
ideal compartir pareja pequeno grupo	neutral
tenerlo buscas cena hora	neutral
cenar menu cerrado variedad platos buenisimos	positivo
atencion espectacular	positivo
chulo tranquilo	positivo
terraza exterior agradable tomar	positivo
hermana cunado salimos encantados restaurante comida	positivo
unica pega vimos servicio lento sabado ibamos prisa	negativo
sitio ubicacion privilegiada terraza super agradable atencion personal excelente	positivo
excelente menu cena riquisima cockteles espresso martinis	positivo
cumpleanos	positivo
pedimos menu degustacion fenomenal	positivo
sitio estupendo encuentras gusto	positivo
atentos agradables gustaba decoracion	positivo
pareja san valentin pedimos menu disponible ocasion	neutral
buenisimo eleccion platos incluia menu sabroso calidad	positivo
camareros simpaticos atentos preocupandose perfeccion	positivo
agradable ambiente	positivo
agradabla cena	neutral
apropiado cena romantica	neutral
comida vanguardista restaurante camareros atentos	positivo.
recomendable pareja amigos	positivo
menu realmente postre flojo comparacion menu	positivo
servicio	positivo
tranquilos ambiente acogedor disfrutamos cena comida ambiente	positivo
sitio cocina calidad precio servicio terraza agradable	positivo
ambiente agradable recomendable	positivo
trato local bonito comida calidad cantidad adecuada	positivo
comida espectacular entrantes punto  tomamos bacalao entrecot buey	positivo
atencion camareros atentos ambiente tranquilo agradable	positivo
cena familia local acogedor camarero amable atento comida buenisima	positivo
sorprendio calidadvariedad presentacion platos	positivo
ano ido chulapa alcala tomado menu mediterraneo	neutral
chulapa vas comer defraudar	positivo
relacion calidadprecio	positivo
apuesta segura vas pareja personas	neutral
cenamos relajadamente personal atento	positivo
cena exquisita	positivo
recmendables alcachofas atun bacalao recetas	positivo
genial probamos menu mediterraneo relacion calidad precio excelente	positivo
ambiente optimo servicio comida encuentro familiar pareja	positivo
servicio atentos comida deliciosa ambiente ideal parejas amigos	positivo
noche comida riquisima variedad productos	positivo
casualidad seguro volvemos amigos	neutral
llamo atencion simpatia personal rapidez servicio	positivo
sitio aceptable tranquilo comer renido bolsillo	positivo
cantidad suficiente tomamos menu especial   euros bebidas	positivo
platos principales espectacularesmuy ricos  bacalao atun pato	positivo
entrantes decepcionantessobre tortita camaronessabia aceite refrito	negativo
tardes centro amigos	neutral
comida obligan pedir platos esperas ponen aceitunas picar	negativo
relacion calidadprecio	positivo
comida fenomenal servicio	positivo
sorprendente combinacion sabores	positivo
experiencia paladar	positivo
comida rica esperaba sabores intensos repiten haberlos camareros amables	positivo
precio correcto pelin caro gusto conozco tipo restaurantes	neutral
comida trato amable	positivo
ambiente trato comida mala gusto falta sabor probar	positivo
trato exquisito comida buenisima	positivo
precios caros descuento atrapalo queda asequible	negativo
comida sabor tranquilo ambiente	positivo
agradable cenar innovar habitual	positivo
domingo conocemos platos gastronomia gusta sabores	positivo
elegimos sitio valoracion precio descuento carta	neutral
soliamos delhi princesa eliminado ofertas resulta caro	neutral
elegimos platos sencillos decepcionaron	positiva
servicio correcto pelin frio mitad comida entramos calor potencia sabores tandoori chickenel lamb sag	positivo
cheese naam rico pequeno entrantes correctos	positivo
encantado duda repetire raciones abundantes rico servicio impecable	positivo
buscais restaurante comida india	positivo
comido indios gustado	positivo
renovar estetica mobiliario	negativo
pedi rico vas descuentos atrapalo sale precio	positivo
grupo grande amigos salimos contentos	positivo
acierto comer curry masala comida  tranquilo trato	positivo
comida calidad media	neutral
probar sorprendio enormemente	neutral
comida exquisita servicio inmejorable	positivo
comida relacion calidad precio sabor indu	positivo
servicio excelente comida fiel origen	positivo
visita mes repetiremos degustando platos	positivo
carta variada comida deliciosa	positivo
atencion trato personal cuidadoso detalles	positivo
espectaculo ofrecen impresionantes voces piano fondo quitarse sombrero	positivo
espacio congenia arte gastronomia ambiente	positivo
cenar rodeada tanta gente linda	positivo
atendieron fenomenal	positivo
comida riquiiiisiimaaa	positivo
sales saciado comer	neutral
salio    persona	neutral
hindu deseando volver repetir	positivo
vegetariana atendieron genial	positivo
sitio agradable camareros atentos comida	positivo
adultos nina	neutral
atencion comida perfectas	positivo
comida menu variada cantidad	positivo
camareros amable	positivo
sorpresa invita disfrutar cumpleanos caso disfrutaran hicimos	neutral
servicio comida regular cantidad cantidad personas oferta	negativo
decoracion horrible frio	negativo
comida super escasa sosa personal super borde	negativo
menu      comida trato inmejorable	positivo
camarero brasileno simpatico	positivo
cuarta	neutral
comida rica deberian advertir picante xxxl servicio	positivo
comida gusto falto picante	positivo
camarero deberia preguntar nivel picor	negativo
agradable sabores rincones postres rompian experiencia	neutral
decoracion local deja desear viejo	negativo
restaurante familia comida  servicio correcto local agradable	positivo
sitio comer centro madrid familia	positivo
excelente	positivo
trato cordial comida excelente	positivo
calidadprecio insuperable	positivo
compartir amigos excelente	neutral
parecio especial sitio lugubre comida mala menu atrapalo	negativo
probaba cocina india experiencia satisfactoria	positivo
rico servicio super amable	positivo
precios menu asequibles	neutral
comida grupo   personas quedamos conformes	neutral
trato servicio rapidez comida postes	positivo
unica pega cantidad comida menu escogimos	neutral
gusto servicio gusto comida inmejorable	positivo
emplazado inigualable centro madrid agradable especial velada romantica	positivo
comida deliciosa servicio	positivo
experiencia gastronomica	positivo
entorno ideal	positivo
cenamos terraza vistas palacio real	neutral
pendientes comodos faltara	positivo
sitio maravilla	positivo
atencion camareros metres cercana aydundandote aconsejandote preguntas	positivo
elegimos menu saludable experiencia llena sabor creatividad	positivo
pareja comida menu beer sensations menu rico sabores acostumbras casa maridado   cervezas tercios paulaner    compartir   pax	positivo
restaurante boveda ambientada servicio impecable repetir	positivo
entras cafe oriente sientes arropado epoca trato personal amable	positivo
menu beer sensations gusta cerveza recomendado	positivo
planteado menu sentido	positivo
pedimos menu carta valio pena probar platos atipicos	positivo
platos clasicos originales precio	positivo
posee interiorismo personal eclectico gusto ambiente confortable acogedor detalles cuidados maximo	positivo
experiencia inolvidable sensorialmente trato humano	positivo
servicio camareros atento explicito plato	positivo
menu degustacion espanol  filipino sorprendente todso platos	positivo
comida servicio incluido vino blanco tinto cafe precio ajustado	positivo
experiencia comida atencion ambiente excelente contento	positivo
platos exquisitos presentados buenisimo   probamos	positivo
atencion camareros constante	neutral
vistas palacio real unicas	positivo
comida calidad elaborada servicio esplendido precio razonable	positivo
restaurante italiano calidad centro madrid	neutral
terraza exterior calle interior sotano bovedas arco ladrillo visto	positivo
comida atencion	positivo
precio cadenas comida italiana	positivo
comidas precios normales	neutral
platos pedimos	positivo
sirvieron rapido restaurante lleno	positivo
italiano madrid relacion calidadprecio	positivo
sitio acogedor	negativo
comida desear	negativo
comida presentacion alta calidad	positivo
plato recomendado	positivo
restaurante agradable pudimos charlar tranquilamente comimos	positivo
sorprendio local vacio fechas agosto	neutral
trato local acogedor comida combinacion sabores propuestas precio	positivo
ambiente tranquilo	positivo
cocina	positivo
sitio tranquilo luz suave temperatura	positivo
local pequeno acogedor	positivo
comida menu variada opciones gustos volver	positivo
amiga sitio visto	neutral
llegamos vacio    minutos quedaba mesa libre	neutral
creeme comida increible chicos brindan atencion genial precio adecuado	positivo
platos personal atento amable	positivo
sitio pasarlo pareja amigos gente curro ambiente formal familiar	neutral
comida servicio estupendo	positivo
local decoracion obsoleta calor	negativo
local agradable cena correcta  servicio	positivo
comida ambiente quieres pasar velada romantica recomiendo	positivo
ambiente esmerado servicio comida situacion	positivo
calidadprecio	positivo
servicio correcto	neutral
calidad precio atmosfera agradable gracias	positivo
restaurante bonito come tranquilidad	positivo
comida espectacular	positivo
ambiente agradable musica fondo mejores restaurantes vegetarianos riquisimo calidad personal amable competente	positivo
descuento resulto caro	neutral
ambiente tranquilo comida exquisita	positivo
opciones veganos	neutral
carta completa comida rica	positivo
sirvieron	positivo
comimos genial buenisima atencion	positivo
sitio estupendo probar delicias vegetarianas completamente recomendable obligada visita madrid vegetarianovegano	positivo
parecio local acogedor ideal amigos probar experiencias	positivo
comida servicio	positivo
placer	positivo
ambiente agradable mesas pequenas juntas	positivo
atencion personal entrada	positivo
experiencia sabor platos rico fallaba punto	positivo
probamos menu platos sabor mejorables presentacion cantidad	negativo
atencion floja veia desbordados	negativo
personal simpatico	positivo
ubicado centro thyssen prado   min plaza sol tipica callejuela barrio letras encontrar sinfin restaurantes	neutral
decoracion clasica rustica	neutral
encanto ido trato comida buenisimos	positivo
gusta sitio	positivo
cerveza alcohol gluten fantastica	positivo
positiva decoracion bonita bonitos ventanales	positivo
risotto ensalada aguacate berenjenas buenisimo pedimos cerveza ecologica gluten alcohol	positivo
comida servicio	positivo
comida genial	positivo
descuento    carta precio calidad platos razonable	positivo
ambiente intimo trato personal agradable	positivo
restaurante ubicado	positivo
pasos estacion opera manejamos transporte publico	neutral
ambiente agradable aceptacion puesto comedor completo	positivo
atencion personal pendientes plato plato etc	positivo
presentacion platos notable calidad	positivo
amigas estupendamente restaurante falla rico camareros amables discretos	positivo
camareros atentos profesionales comida elaborada imaginativa servida sabrosa	positivo
descuento atrapalo precio	positivo
cenar salimos contentos	positivo
platos presentacion rico	positivo
servicio comida	positivo
comida ambiente servicio	positivo
vino tinto imbebible	negativo
hola comida rica atencion fatal esperar    minutos reclamar platos merece pena restaurante	negativo
elegimos menu invierno	neutral
platos escogimos buenisimos	positivo.
servicio atento educado	positivo
reserve lunes sorprendio cantidad gente	neutral
local bonito ambiente agradable	positivo
relacion calidad precio reservas descuento	positivo
caso reserva descuento    carta	neutral
comida toques originales ambiente agradable	positivo
presentacion platos estupenda variedad vinos	positivo
servicio precio estupendo	positivo
sitio acogedor personal amable comida	positivo
recomendable relacion calidad precio	positivo
ambiente agradable ruidoso	negativo
comimos menu   navidad comida presentacion bonita platos entrada	positivo
camarero agradable	positivo
pense encanto pobre gris	negativo.
menu    calidad	negativo
llegamos ofrecieron posibilidad cenar cueva	neutral
prepararon estupenda velada luz tenue acompanada velas	positivo
ido seguros trato ganado clientes repetiremos ocasion	positivo
ambiente tranquilo acogedor	positvo
disfrutamos comida menu degustacion	positivo
vino acompanaba plato adecuado	positivo
servicio excepcional	positivo
espacio grupo disfrutamos cena agobios prisas	positivo
acudimos cambian menu degustacion sorprendio elaborado preparado	positivo
encanta probar sabores texturas menu bordan	positivo
comimos menu degustacion raciones abundantes calidad correcta vino servicio	positivo
sitio ubicado centro puerta sol acogedor bonito	positivo
ubicacion parecer sitio tipico turistas	neutral
comida gusto  presentacion atencion estupenda local bonito	positivo
bonito ambiente	positivo
personas gusto tods	neutral
personal servicio amable	positivo
acogedor	positivo
comida elaborada cantidad	positivo
superdo atencion personal calidad	positivo
tranquilidad mitad bullicio	positivo
grupo amigos reservamos menu hamburguesa maridaje	neutral
hamburguesa sorpresa positiva ingredientes vida real rica	positivo
camarero simpatico atento ofrecio posibilidad cambiar cerveza menu refresco queriamos	positivo
atencion servicio	positivo
menu especial abundante rico	positivo
atencion servicio rapido	positivo
lastima comida ambiente tranquilo	positivo
comida abundante	positivo
sitio bonito tranquilo	positivo
grupo   personas gusto comida servicio	positivo
queriamos comer terraza cerraban media hora	negativo
cenar salon totalmente desayuno hotel encanto	negativo
comida abundante deberia retocar menu	neutral
atencion	negativo
servicio eficientes agradables comida  opinion mejorable	positivo
tomamos menu degustacion estupendo variado calidad excelente	positivo
lamentablemente decepcion sitio estupendo decepcion comida pedimos menu especial risoto marinado cubre expectativas risoto platos risoto pedimos queso pusieron queso elaboracion sabor queso pescado lamentable elaboracion codillo definitiva decepcion	negativo
comida buenisima trato excelente sitio decorado	positivo
ambiente tranquilo	positivo
comida abundante	neutral
excelente servicio ambiente estupendo	positivo
experiencia agradable	positivo
trato amable	positivo
comida rica	positivo
caro oferta	negativo
comida relacion calidadprecio servicio atentos	positivo
comida riquisima atencion genial	positivo
comimos carta oferta descuento aplicaron decirles favor restaurante	neutral
comida platos escasos entrantes	neutral
servicio rapido hora servir platos	positivo
precio descuento	positivo
servicio rapido comida rica	positivo
negativa precios elevados comparados hindus	negativo
comida rica	positivo
pan queso rico probado	positivo
sitio pequeno agradable personal atendio	positivo
comida ido	positivo
estupendo trato	positivo
reservar antelacion problemas sitio trato estupendo	positivo
restaurante tranquilo comida trato	positivo
entrantes mundo principales ricos	neutral
sitio agradable camareros atentos	positivo
sitio agradable comida	positivo
servicio atento detalles platos	positivo
descuento atrapalo caro	negativo
servicio ambiente	positivo
elaboracion alimentos calidad paga paga	positivo
ambiente clima complicidad romanticismo gracias luces velas decoracion restaurante	positivo
cenamos amigos tranquilo relajado	positivo
atencion comida	positivo
ambiente propicio reencuentros	positivo
sitio agradable	positivo
grupo amigos rincones espana reunidos anos vernos	neutral
local mesa grande espaciosa ambiente reservado reunion	positivo
comida deliciosa productos calidad	positivo
cena amigos perfecto comida servicio cercano profesional	positivo
comida pareja trato correcto amable	positivo
platos ejecutados presentados	positivo
precio razonable	positivo
comida rica precios elevados	negativo
carta parecio cara	negativo
descuento atrapalo imposible asumir	negativo
platos ricos	positivo
sorprendido calidad presentacion platos	positivo
descuento    calidadprecio excelente	positivo
ambiente trato excelentemuy comida cantidad calidady bares tomar copa	positivo
pareja cenar trato recibido principio comida perfecta ambiente tranquilo agradable	positivo
oferta sale precio	positivo
sitio estupendo conocia cocido menu degustacion relacion calidad precio	positivo
trato agradable servicio rapido cocina estupenda	positivo
plato recomendado	positivo
suave tono luz velas mesas vestidas tamano logran ambiente acogedor	positivo
amabilidad servicio complementan	positivo
pequena pega raciones platos escasas	neutral
san valentin encanto comida ambiente restaurante decorado velitas jazz directo cena	positivo
bebidas caras	negativo
menu degustacion buenisimo vas hambre	neutral
parmegiana llena comer plato principal postre cuesta	neutral
pedi aconsejada camarero papardelle butifarra buenisimos	positivo
plato contudente sabores equilibrados	neutral
intimo romantico ideal sorprender sorprender pareja comida buenisima amigos	positivo
comida genial sabor cantidad platos	positivo
tarta queso buenisima tiranmisu	positivo
comida familia fechas afluencia ciudad restaurante lleno gente paraba entrar buscando mesa libre	neutral
personal eficiente organizacion amable pese presion comida	positivo
pareja salimos encantados	positivo
restaurante pequeno bonito comida parecio espectacular entrantes postre tarta queso madre	positivo
descuento atrapalo relacion calidadprecio	positivo
gusto comida zona cenamos tranquila	positivo
trato servicio correcto	positivo
comida buenisima	positivo
servicio excelente	positivo
comida rica	positivo
platos caros oferta atrapalo precio aceptable	neutral
servicio lento esperando    minutos sirvieran postre	negativo
caro vas promocion	negativo
ido probamos dejan sorprendernos tocaron cangrejos concha blanda carrillera estupendo	positivo
lleno desbordados camareros	negativo
exceso salsa platos carne	neutral
postre casero coco	positivo
comida buenisima	positivo
esperabamos comida sabrosa recordabamos visita	neutral
sopa tom yan insipida langostinos caracter	neutral
pad thai sabroso	positivo
comida gusto probamos	positivo
tailandes conozco gastronomia gusto	positivo
entrantes magnificos	positivo
cuarta comida abundante	positivo
peores sitios mesas dejan reservas oferta	negativo
servicio lento tardaron servir	negativo
cantidad comida abundante	neutral
comida estupenda	positivo
punto negativo tardan servir platos caros postres bebida	negativo
descuento	neutral
sabor comida degustamos tailandia	neutral
cangrejo cascara blanda riquisimo entrecot sopas buenisimas gusta comida especiada picante	positivo
encanta comer horno juan comida	positivo
estupendos asados servicio	positivo
totalmente recomendable	positivo
buenisimo menu calidad precio excepcional	positivo
cochinillo exquisito	positivo
restaurante calidad	positivo
servicio lento caras largas	negativo
menu compartir entrantes mediocre ponen cantidad	negativo
plato principal cochinillo punto asado racion minima resto platos vulgares	neutral
pastel cabracho fatal	negativo
ido volvere broma cobrar menu    euros vulgar	negativo
comida estupenda	positivo
velada bonita agradable alegre pensarlo rato cena duro     falta	positivo
servicio actuacion inmejorable	positivo
carta cara	neutral
camareros aparte servirte espectaculo unico	positivo
recomendable puedes permitir precio	neutral
espectaculo merece pena comidapero servicio  hora espera empezar comer	negativo
cena visperas carnaval terminamos cantando	positivo
extraordinaria interpretacion opera escasos metros mesa disfrutas platos elaborados esmero	positivo
comida duda momentos miembros castafiore cantaban	positivo
sitio incomodo impersonal	negativo
raciones escasas verduras plancha   racion   racion pulpo	neutral
verano gusto terraza interior	positivo
llegar hora cocina atencion comida	positivo
cantidad abundante	neutral
trato personal fantastico	positivo
desconocimiento comida resulto copiosa calidad precio	neutral
fantastico marco atencion insuperable	positivo
raciones abundantes comida rica	positivo
camareros amables atentos	positivo
duda recomiendo descuento atrapalo precio queda	positivo
sitio espectacular servicio tranquilo agradable	positivo
plato recomendado	positivo
servicio malo	negativo
amables malas caras	negativo
comida cantidad hecha grasa	negativo
pagas sitio comida cara	negativo
ambiente atenciones	positivo
deja desear menu ofrecen	negativo
atencion muy normal	neutral
recepcion mesa quedaba vimos libres	neutral
atencion personal decoracion perfecta	positivo
comer vistas campo futbol	positivo
comida basica	neutral
especialpero calidad atencion deja desear	negativo
servicio amable  comida precio escasa	positivo
tranquilo agradable	positivo
servicio atentos amables	positivo
comida cocinada	positivo
sitio servicio calidad precio	positivo
relacion calidad precio	positivo
cocina calidad materias primas	positivo
platos estupendos productos frescos	positivo
atendieron	positivo
notable altoservicio rapido amablecomida abundante invitacion chupetes amable	positivo
sitio agradable tranquilo	positivo
comida normal relacion calidad precio	neutral
trato	positivo
comimos riquisimo	positivo
precio promocion atrapalo	positivo
comida excelente	positivo
comi cartamuy caro	negativo
raciones generosas	neutral
salpicon cine merluza fresca	positivo
postres gallegos	positivo
cena tranquila musica ambiental	neutral
servicio correcto	neutral
pasamos comida fenomenal	positivo
quedamos satisfechos ambiente decoracion	positivo
platos respondian expectativas trato correcto	positivo
decirsobra amabilidad educacion trato personal lanzada	positivo
comida exquisita tamano platos ideal	positivo
alegro ido recomiendo	positivo
encantan nachos queso	positivo
sitio decoracion estupenda precioso	positivo
sitio merece pena servicio    malo	negativo
comida excelente ambiente	positvo
recomiendo guacamole quesadillas nortenas	positivo
comida variada margaritas excelentes personal amable	positivo
comida rica	positivo
camareros atienden rapido	positivo
comida ambiente servicio	positivo
comida riquisima abundante	positivo
calidad precio genial	positivo
esperar sirvan trato	positivo
dejamos aconsejar lujo rico excelente comida mexicana estilo local agradable servicio	positivo
precio	positivo
gusto muchobuena comida precio	positivo
comida increible precios normales	positivo
local centrico camareros majos	positivo
variedad comida comparando mexicanos caro	negativo
trato amable autentica comida mexicana	positivo
caro raciones pequenas	negativo
cena pareja degustando comida rica elaborada presentada	positivo
relacion calidadprecio caso oferta degustacion	positivo
comida	positivo
cerveza mexicana cara	negativo
sitio encanto disfrutar velada	positivo
sitio precioso ideal pareja comida rica	positivo
camarero profesional sabiendo aconsejar	positivo
vagon parejitas convierte claustrofobico intimo lleno	negativo
camareros amables	positivo
comida riquisima excelente servicio trato amable detalle	positivo
ambiente entranable musica romantica bajita idea charlar alguien especial pareja	positivo
gusto escenificacion parecia estacion antigua tren	positivo
comida deliciosa trato exquisito camarero pendiente explicando plato servia atento agoviar	positivo
encanto limpio rico	positivo
comida excelente	positivo
pintoresco come fenomenal	positivo
sitio romantico tranquilo  encanto	positivo
comida  local acogedor	positivo
romantico	neutral
atencion estupenda comida inigualable	positivo
mujer pareja perfecto entorno ambiente	positivo
comidacorrecta	positivo
restaurante servicio comida	positivo
ruidoso conversaciones llenando	negativo
local decoracion gustado muchisimo amabilidad camareros servicio	positivo
comida rica platos originales elaborados	positivo
pasamos rato divertido comida sorprendio rica	positivo
sitio tranquilo casa	positivo
comida espectacular raciones abundantes cuidadas	positivo
personal impresionante atentos dispuestos	positivo
repetiremos recomendado	positivo
excelente comida trato agradable	positivo
empleados atentos	positivo
comida excelente amables	positivo
comimos menu rico arroz gusto	positivo
ocasion pedimos menu chuleton quedamos completamente satisfechos carne calidad cocinada punto exacto pedi vino entrada exquisita	positivo
acorde calidad precio postre menu	neutral
lastima tarta industrial	neutral
servicio atento	positivo
sitio bonito tranquilo comida sencilla elaborada exquisita	positivo
comida relajada ambiente acojedor	positivo
ambiente tranquilo acogedor	positivo
servicio rapido atento comida punto carne arroz	positivo
carne chicle comida gusto especialmente	negativo
comida rica pescado carne camareros profesionales	positivo
comida calidad pedimos menu regalo incluia arroz botella vino	positivo
trato personal ambiente agradable	positivo
rapidamente atendidos restaurante aparece limpio temperatura comida variada suficiente cantidad	positivo
cogimos menu atrapalo genial	positivo
comida	positivo
cenando tranquilos atencion servicio	positivo
comida calidadel vino elegido cumplio expectativas	neutral
agradable comida cantantes sensacionales pedida mano incluida comensales	positivo
perfectamente coordinado presentado ambiente especial experiencia	positivo
elegante magnificos cantantes servicio esmerado comida exquisita precio razonable	positivo
cena agradable disfrutando voces bonita seleccion piezas opera zarzuela	positivo
cuidado acogedor trato delicado cliente	positivo
comida fallos helado cristalitos hielo	neutral
edad comensales	neutral
juntan cena espectaculo cojea caso	neutral
amabilidad excelente servicio rapidez platos unido profesionales deleitan cena voces canciones	positivo
agradable ambiente comida cantantes alto nivel	positivo
unico negativo tardan plato plato	negativo
sorprendido cena platos elaborados ricos	positivo
decoracion chula	positivo
comida realmente artistas crean ambiente maravilloso	positivo
comida exquisita	positivo
servicio	positivo
espectaculo genial	positivo
bonito restaurante carta amplia	positivo
rico cuidado detalles disfruta	positivo
copas postres decorados	neutral
comida calidad servicio agradable	positivo
comida servicio	positivo
familiar acogedor	positivo
restaurante recomendable comida fenomenal servicio excelente	positivo.
recomiendo volveremos puesto comida	positivo
pelin alto precio	negativo
fatal esperanefasto	negativo
comida excelente camareros agradables	positivo
cuidada decoracion carta original	positivo
ambiente menu variado exquisito	positivo
reserva hecha indicaron problema sentaron mesa	positivo
pedimos menu    euros completo normalitos carne minihamburguesas ricas	positivo
trato amable ambiente informal	positivo
comida precio razonable excelente servicio	positivo
comimos yen cantidad razonable	positivo
reservamos sitio comer wizink center partido ballet llegamos esperaron sirvieron correctamente agrado	positivo
comida rica	positivo
ambiente	positivo
precio	positivo
atencion	positivo
rapidez servicio	positivo
amables	positivo
ambiente tranquilo familiar	positivo
atencion servicio	positivo
quereis sitio tranquilo intimo venir	positivo
gusto comida servian fria costillas secas salsa ketchup mostaza	negativo
ambiente atencion	positivo
comida sitio merece pena	positivo
cena contundente   demora servicio	negativo
servicio camareras postre	positivo
camareros atentos sabores	positivo
